rxn_id,flux_exchange_normalized_lb,flux_exchange_normalized,flux_exchange_units,flux_exchange_ub,id,flux_exchange_stdev,comment_,simulation_dateAndTime,flux_exchange,flux_exchange_lb,used_,flux_exchange_normalized_stdev,simulation_id,flux_exchange_normalized_units,flux_exchange_normalized_ub
NTD2,0.0,0.0,mmol*gDCW-1*hr-1,0.0,5725,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
GLCP2,0.0,0.0,mmol*gDCW-1*hr-1,0.0,5761,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
PPND,0.0,0.0,mmol*gDCW-1*hr-1,0.0,5797,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
COtex,0.0,0.0,mmol*gDCW-1*hr-1,0.0,5798,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
ASPTA,0.0,0.584393250953128,mmol*gDCW-1*hr-1,999.998895708129,5834,249.999723927032,,2015-06-09 09:27:38,2.90887605877943,0.0,True,0.249483886051175,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.9979355442047
OCBT,0.0,0.887272840082343,mmol*gDCW-1*hr-1,999.999888640645,5870,249.999972160161,,2015-06-09 09:27:38,1.53550766500864,0.0,True,0.249951238314683,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999804953258733
D_DASH_LACt2pp,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5178,27.8691002020471,,2015-06-09 09:27:38,0.371198589792518,0.0,True,0.25,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,1.0
NAtex,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5179,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
DAPE,0.0,0.887445103605269,EX_glc_LPAREN_e_RPAREN__normalized,111.476400808188,5180,27.8691002020471,,2015-06-09 09:27:38,0.215379060796449,0.0,True,0.249938754097873,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.999755016391493
GUAPRT,0.0,0.0,EX_glc_LPAREN_e_RPAREN__normalized,0.0,5181,0.0,,2015-06-09 09:27:38,0.0,0.0,True,0.0,WTEColi_113C80_U13C20_02_140407_iDM2014_full04_OxicWtGlc_0,netFlux_normalized,0.0
